iter	Passed	Remaining
0	110	110052
1	123	61618
2	132	44045
3	143	35695
4	154	30711
5	164	27186
6	172	24506
7	181	22481
8	192	21203
9	203	20130
10	214	19275
11	225	18547
12	234	17831
13	245	17260
14	255	16751
15	265	16322
16	274	15879
17	283	15457
18	292	15123
19	302	14828
20	312	14566
21	321	14300
22	330	14055
23	341	13871
24	350	13663
25	362	13569
26	374	13484
27	384	13353
28	393	13187
29	404	13075
30	413	12935
31	423	12811
32	433	12694
33	443	12610
34	455	12546
35	465	12477
36	475	12375
37	485	12286
38	494	12187
39	504	12107
40	514	12037
41	523	11944
42	533	11868
43	544	11821
44	555	11779
45	565	11718
46	574	11656
47	586	11622
48	598	11622
49	608	11555
50	618	11513
51	628	11461
52	637	11395
53	648	11357
54	657	11288
55	666	11231
56	678	11218
57	689	11193
58	700	11177
59	711	11139
60	722	11116
61	732	11076
62	742	11046
63	751	10994
64	760	10944
65	771	10919
66	781	10884
67	792	10855
68	802	10826
69	811	10780
70	821	10744
71	830	10708
72	840	10670
73	850	10645
74	859	10603
75	868	10559
76	877	10523
77	888	10500
78	898	10469
79	907	10432
80	917	10405
81	927	10386
82	937	10357
83	946	10318
84	956	10297
85	966	10269
86	974	10230
87	984	10206
88	994	10176
89	1003	10149
90	1013	10123
91	1025	10122
92	1034	10093
93	1045	10073
94	1056	10064
95	1067	10051
96	1078	10040
97	1088	10015
98	1098	9996
99	1110	9991
100	1121	9983
101	1131	9959
102	1141	9941
103	1152	9932
104	1165	9937
105	1174	9908
106	1184	9886
107	1194	9864
108	1203	9839
109	1215	9833
110	1225	9815
111	1238	9818
112	1247	9793
113	1256	9766
114	1266	9743
115	1276	9725
116	1284	9694
117	1294	9672
118	1302	9644
119	1311	9616
120	1319	9588
121	1329	9564
122	1339	9548
123	1347	9520
124	1359	9515
125	1369	9502
126	1378	9476
127	1386	9446
128	1395	9419
129	1405	9405
130	1414	9382
131	1423	9360
132	1433	9341
133	1441	9317
134	1451	9300
135	1459	9274
136	1468	9249
137	1477	9228
138	1486	9209
139	1495	9186
140	1503	9162
141	1514	9149
142	1523	9129
143	1532	9109
144	1541	9088
145	1550	9067
146	1558	9043
147	1566	9019
148	1576	9006
149	1586	8989
150	1595	8971
151	1605	8957
152	1614	8939
153	1624	8922
154	1633	8904
155	1643	8893
156	1653	8880
157	1662	8862
158	1672	8847
159	1681	8827
160	1689	8806
161	1698	8788
162	1707	8770
163	1717	8753
164	1726	8736
165	1735	8719
